Date,RSI
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,63.35959423091955
2020-01-07,57.82300761830319
2020-01-08,64.19211635065545
2020-01-09,70.35788515299576
2020-01-10,65.19252086411282
2020-01-13,70.71079750943841
2020-01-14,68.11496837308603
2020-01-15,69.87744298517717
2020-01-16,75.30155570625718
2020-01-17,76.98538327759844
2020-01-21,73.57625503622195
2020-01-22,73.65358793926556
2020-01-23,74.41936502859727
2020-01-24,59.870931786092314
2020-01-27,43.507757810612404
2020-01-28,52.50093481813011
2020-01-29,51.793674423249996
2020-01-30,54.391174452855644
2020-01-31,41.027589455324765
2020-02-03,46.69313526303098
2020-02-04,56.08447913268233
2020-02-05,61.67740691711365
2020-02-06,63.1664102337873
2020-02-07,59.22780171239969
2020-02-10,62.715935321830614
2020-02-11,63.502384545423396
2020-02-12,66.34909057867978
2020-02-13,65.4330241580677
2020-02-14,66.18713915481536
2020-02-18,63.773259188082264
2020-02-19,66.22791037689224
2020-02-20,62.30289509912929
2020-02-21,53.74030941142658
2020-02-24,36.514701859734224
2020-02-25,27.982125700758843
2020-02-26,27.177116980470643
2020-02-27,19.737898017225135
2020-02-28,19.2313609151563
2020-03-02,37.07983476763526
2020-03-03,31.851222063818
2020-03-04,43.9817228770837
2020-03-05,37.98169125782501
2020-03-06,35.47594614768596
2020-03-09,26.671934141515223
2020-03-10,36.96300258648638
2020-03-11,32.148616398391724
2020-03-12,25.476775361350903
2020-03-13,36.8759785832342
2020-03-16,30.00780686673157
2020-03-17,35.67720184886922
2020-03-18,32.84525654016278
2020-03-19,33.07320371879483
2020-03-20,30.512218478930635
2020-03-23,29.29192808350983
2020-03-24,38.44620250066493
2020-03-25,39.954781480849334
2020-03-26,45.63518323558717
2020-03-27,43.25589821281022
2020-03-30,46.43726214081982
2020-03-31,45.14557650251832
2020-04-01,41.452253089554
2020-04-02,43.873534340009186
2020-04-03,42.6560790077487
2020-04-06,49.5592758134708
2020-04-07,49.6649765109666
2020-04-08,53.1498479255878
2020-04-09,54.73126797503669
2020-04-13,53.545655173109495
2020-04-14,56.77339699923404
2020-04-15,53.788215847702325
2020-04-16,54.36248941550733
2020-04-17,57.558510381358836
2020-04-20,54.79091847568339
2020-04-21,50.374591047891165
2020-04-22,53.25078796851039
2020-04-23,53.239810121988164
2020-04-24,55.17359023080991
2020-04-27,57.17405082250809
2020-04-28,56.298691037218845
2020-04-29,60.03298252660491
2020-04-30,58.08223594015512
2020-05-01,52.870570232574714
2020-05-04,53.32801808856451
2020-05-05,54.91112432441784
2020-05-06,53.464986272764115
2020-05-07,55.687045955670094
2020-05-08,58.63872495865084
2020-05-11,58.67608869186018
2020-05-12,53.60842216867748
2020-05-13,49.59674682969842
2020-05-14,52.15942748312683
2020-05-15,53.15646495765463
2020-05-18,59.24517007983669
2020-05-19,56.49719519659655
2020-05-20,59.78545501557751
2020-05-21,57.83951894093329
2020-05-22,58.23938948314738
2020-05-26,60.83932211534145
2020-05-27,63.806049492807745
2020-05-28,63.15761992736106
2020-05-29,64.10467051502656
2020-06-01,64.98773590076226
2020-06-02,66.79714640744086
2020-06-03,69.54401820986806
2020-06-04,68.32651486891467
2020-06-05,73.23691608141507
2020-06-08,75.23677182302238
2020-06-09,71.63748750015228
2020-06-10,68.99726830869898
2020-06-11,49.01187794318141
2020-06-12,51.94624166024072
2020-06-15,54.186202596696
2020-06-16,58.51943878543803
2020-06-17,57.237021670843255
2020-06-18,57.329974163807755
2020-06-19,54.02092172679448
2020-06-22,55.755136568072764
2020-06-23,57.016110021871974
2020-06-24,48.6964781527472
2020-06-25,51.798588651662435
2020-06-26,45.206795921082325
2020-06-29,49.39634414673497
2020-06-30,52.831173969538185
2020-07-01,54.66651868742811
2020-07-02,56.12211241924951
2020-07-06,60.0188759032657
2020-07-07,56.36183760493282
2020-07-08,58.36690456378171
2020-07-09,56.27834043606914
2020-07-10,59.08979947830518
2020-07-13,55.78053628530698
2020-07-14,59.41237384727928
2020-07-15,61.836474602927204
2020-07-16,60.43031414547215
2020-07-17,61.262613996794684
2020-07-20,63.569678520292285
2020-07-21,64.17938858962181
2020-07-22,65.83058218735279
2020-07-23,59.59395447538143
2020-07-24,56.51860251207824
2020-07-27,59.07717406960445
2020-07-28,55.9699689724095
2020-07-29,60.30250156852335
2020-07-30,58.48251635516244
2020-07-31,61.26122664903074
2020-08-03,63.58838993125193
2020-08-04,64.86023694173932
2020-08-05,66.87177892086126
2020-08-06,68.94501257921252
2020-08-07,69.1696637357856
2020-08-10,70.138876956451
2020-08-11,64.12523518955375
2020-08-12,68.93066182938924
2020-08-13,67.64773289415274
2020-08-14,67.65836990290836
2020-08-17,68.8378476949031
2020-08-18,69.65105047528446
2020-08-19,66.0649845077975
2020-08-20,67.41058417787445
2020-08-21,68.92706257457428
2020-08-24,72.83012158509176
2020-08-25,74.0544185331351
2020-08-26,77.23108811338851
2020-08-27,77.87374955689525
2020-08-28,79.70054459536188
2020-08-31,75.89182395471606
2020-09-01,78.72785430774441
2020-09-02,82.21962550143081
2020-09-03,57.629875447651436
2020-09-04,53.66995208986319
2020-09-08,43.08720427027908
2020-09-09,50.47961919649348
2020-09-10,44.85381023234747
2020-09-11,45.04384088684852
2020-09-14,49.86023426751568
2020-09-15,51.63433014135223
2020-09-16,50.126404034640906
2020-09-17,46.87234791770694
2020-09-18,41.784771978734405
