Date,Volume
2021-03-01,34642
2021-03-02,19829
2021-03-03,13338
2021-03-04,19162
2021-03-05,9767
2021-03-08,16804
2021-03-09,2399
2021-03-10,3636
2021-03-11,14660
2021-03-12,9884
2021-03-15,4168
2021-03-16,2019
2021-03-17,5391
2021-03-18,1718
2021-03-19,10739
2021-03-22,1302317
2021-03-23,1562826
2021-03-24,1694888
2021-03-25,2049220
2021-03-26,1486510
2021-03-29,1450487
2021-03-30,1894739
2021-03-31,2350602
2021-04-01,1587843
2021-04-05,919100
2021-04-06,1385977
2021-04-07,1409520
2021-04-08,1171916
2021-04-09,1570458
2021-04-12,1179342
2021-04-13,1747605
2021-04-14,1339839
2021-04-15,2236329
2021-04-16,1487904
2021-04-19,1211489
2021-04-20,1414513
2021-04-21,1264344
2021-04-22,1465180
2021-04-23,1165827
2021-04-26,1351777
2021-04-27,1418589
2021-04-28,1705772
2021-04-29,1634108
2021-04-30,2003114
2021-05-03,1540326
2021-05-04,1989203
2021-05-05,1454032
2021-05-06,1366666
2021-05-07,2831157
2021-05-10,1410630
2021-05-11,1574618
2021-05-12,2488669
2021-05-13,1901751
2021-05-14,1608810
2021-05-17,1189252
2021-05-18,998216
2021-05-19,2044316
2021-05-20,1619543
2021-05-21,1695356
2021-05-24,2367110
2021-05-25,4052084
2021-05-26,2845547
2021-05-27,985340
2021-05-28,180702
2021-06-01,47305
2021-06-02,13754
2021-06-03,13060
2021-06-04,16682
2021-06-07,4593
2021-06-08,11241
2021-06-09,20352
2021-06-10,9921
2021-06-11,16823
2021-06-14,8431
2021-06-15,3563
2021-06-16,5328
2021-06-17,8405
2021-06-18,3522
2021-06-21,1942226
2021-06-22,1384211
2021-06-23,1303395
2021-06-24,1224046
2021-06-25,1252104
2021-06-28,966673
2021-06-29,1042488
2021-06-30,1715181
2021-07-01,1124574
2021-07-02,1303525
2021-07-06,1946423
2021-07-07,1846518
2021-07-08,1926487
2021-07-09,1208316
2021-07-12,1349716
2021-07-13,2021905
2021-07-14,1469059
2021-07-15,1503254
2021-07-16,1061127
2021-07-19,2253335
2021-07-20,2194456
2021-07-21,1909685
2021-07-22,1449036
2021-07-23,916473
2021-07-26,1068621
2021-07-27,1204331
2021-07-28,1555292
2021-07-29,1386720
2021-07-30,1753454
2021-08-02,1379439
2021-08-03,1081659
2021-08-04,1722812
2021-08-05,1272560
2021-08-06,1603639
2021-08-09,1178694
2021-08-10,1281304
