Date,Volume
2019-12-14,19497758114.150417
2019-12-15,18896096612.075874
2019-12-16,22208927988.54228
2019-12-17,26481385708.660343
2019-12-18,57308255783.65001
2019-12-19,23539013331.219044
2019-12-20,22483207163.876167
2019-12-21,18632480432.842224
2019-12-22,24325792143.84145
2019-12-23,30235862118.677433
2019-12-24,26519710985.47972
2019-12-25,23546783550.72025
2019-12-26,24771695136.045387
2019-12-27,25893684880.003193
2019-12-28,21437778061.8769
2019-12-29,22035194451.00931
2019-12-30,22320671263.717125
2019-12-31,21187883711.18498
2020-01-01,18123516838.8979
2020-01-02,20313194628.09452
2020-01-03,31015776262.21867
2020-01-04,20611640058.34164
2020-01-05,21929224570.56102
2020-01-06,28148518761.51164
2020-01-07,34823187724.289955
2020-01-08,39971512000.06816
2020-01-09,29276053440.88472
2020-01-10,35777298156.26295
2020-01-11,31504583511.03613
2020-01-12,27533390875.51989
2020-01-13,27962176780.628242
2020-01-14,55384169405.51928
2020-01-15,48160401007.254
2020-01-16,36462155571.2176
2020-01-17,41671910798.34088
2020-01-18,36801813631.51236
2020-01-19,39242297095.94223
2020-01-20,29527689342.88548
2020-01-21,27057681779.746685
2020-01-22,25628542094.50134
2020-01-23,30696020541.207973
2020-01-24,30691734305.128674
2020-01-25,26582198966.298725
2020-01-26,30241155463.270596
2020-01-27,39661537339.92209
2020-01-28,49812761504.1306
2020-01-29,47273353143.75747
2020-01-30,51037775414.9802
2020-01-31,50102814005.68021
2020-02-01,48307978233.84802
2020-02-02,55025402183.682236
2020-02-03,56824765307.81458
2020-02-04,55377658455.62325
2020-02-05,65675565620.91084
2020-02-06,71141695218.03949
2020-02-07,69495711755.62915
2020-02-08,71561797135.19986
2020-02-09,78110955304.52135
2020-02-10,81406687324.35088
2020-02-11,38930644711.90421
2020-02-12,45456624047.83392
2020-02-13,54151236617.55855
2020-02-14,50206573483.049774
2020-02-15,51460340288.898056
2020-02-16,42364906261.0548
2020-02-17,48517591137.467995
2020-02-18,54648014949.72496
2020-02-19,50502739123.75383
2020-02-20,53579139400.80847
2020-02-21,37678167400.71924
2020-02-22,32555342237.084362
2020-02-23,38743680759.32858
2020-02-24,41928789500.12296
2020-02-25,39441760776.318504
2020-02-26,45140119229.636024
2020-02-27,43045469000.97675
2020-02-28,41297721067.30182
2020-02-29,33291626663.006737
2020-03-01,34310775733.322155
2020-03-02,59776629742.57125
2020-03-03,68336042797.3885
2020-03-04,38832067216.87788
2020-03-05,38122635173.15044
2020-03-06,41388087588.44269
2020-03-07,36764763103.12236
2020-03-08,39132209137.697235
2020-03-09,45678665163.11017
2020-03-10,40882213633.94649
2020-03-11,38689036552.81125
2020-03-12,50009548492.07486
2020-03-13,74329688818.10397
2020-03-14,36054625746.82817
2020-03-15,32985693209.74783
2020-03-16,44034438467.966835
2020-03-17,36007089253.822556
2020-03-18,37618067230.41405
2020-03-19,48056214948.15649
2020-03-20,50936770688.25396
2020-03-21,40189198131.46317
2020-03-22,37255748385.30394
2020-03-23,45578824447.64577
2020-03-24,45846522059.373184
2020-03-25,42082295491.03078
2020-03-26,34840544710.10888
2020-03-27,32910551599.472366
2020-03-28,35231848358.55144
2020-03-29,25923471292.176422
2020-03-30,34907149977.57921
2020-03-31,32287674952.1782
2020-04-01,35886963977.71526
2020-04-02,47638672293.73783
2020-04-03,39867535857.25387
2020-04-04,35009177102.13241
2020-04-05,31885662165.01491
2020-04-06,45370138560.82485
2020-04-07,43386074290.71468
2020-04-08,38922547592.862114
2020-04-09,34921486435.060486
2020-04-10,37828011010.9016
2020-04-11,30280054180.28837
2020-04-12,34544392366.04943
2020-04-13,38062368291.08157
2020-04-14,33837365577.44977
2020-04-15,29692916171.011845
2020-04-16,45752002264.274315
2020-04-17,31701906839.621475
2020-04-18,30035235468.3311
2020-04-19,29714765522.325314
2020-04-20,35276609104.457115
2020-04-21,30093303601.39072
2020-04-22,30819547915.3444
2020-04-23,41032858925.23595
2020-04-24,33233126912.999897
2020-04-25,31610167152.118294
2020-04-26,33760863612.125053
2020-04-27,35205525351.89531
2020-04-28,32855687796.969097
2020-04-29,60399592065.54053
