Date,RSI
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,73.45264252642991
2020-01-07,73.28869225014017
2020-01-08,75.97055275878964
2020-01-09,78.3995343405486
2020-01-10,73.84999091395956
2020-01-13,76.33975408481247
2020-01-14,72.58328367910741
2020-01-15,72.55329728178447
2020-01-16,72.9087940130915
2020-01-17,75.11565675069053
2020-01-21,80.49577925162328
2020-01-22,80.6978425586119
2020-01-23,77.17592128020041
2020-01-24,77.62642160292182
2020-01-27,56.81332228763773
2020-01-28,63.479044533276344
2020-01-29,61.25604085519914
2020-01-30,59.18574790939137
2020-01-31,51.414709961522476
2020-02-03,53.05426878034567
2020-02-04,63.373149049652625
2020-02-05,64.22765104667548
2020-02-06,64.04974312107618
2020-02-07,60.3780197199761
2020-02-10,64.14849374692561
2020-02-11,63.49469913713944
2020-02-12,65.26815278622136
2020-02-13,68.7147194354198
2020-02-14,81.58897683963663
2020-02-18,78.97031195284436
2020-02-19,80.57233037444608
2020-02-20,73.22652957423227
2020-02-21,70.58823199420615
2020-02-24,48.48946389366809
2020-02-25,32.04747519202516
2020-02-26,32.76570599648669
2020-02-27,21.406943263119587
2020-02-28,22.209037406136602
2020-03-02,34.434430428623784
2020-03-03,30.184699770943624
2020-03-04,37.32827839277949
2020-03-05,33.93625918298237
2020-03-06,31.656562835678628
2020-03-09,26.323061855501805
2020-03-10,32.73815877155282
2020-03-11,30.58881259660282
2020-03-12,27.036169645344657
2020-03-13,38.038372537944376
2020-03-16,33.362223461245264
2020-03-17,38.567051208297684
2020-03-18,39.977912243612415
2020-03-19,40.34846739555373
2020-03-20,33.914996971217676
2020-03-23,35.592969010742934
2020-03-24,37.64655010291069
2020-03-25,39.120419569845005
2020-03-26,44.26904954432469
2020-03-27,46.88605749988997
2020-03-30,45.32133733263113
2020-03-31,48.02036712362009
2020-04-01,52.229068740252785
2020-04-02,46.85418664508606
2020-04-03,58.77072783579012
2020-04-06,58.90904899082991
2020-04-07,63.19648010335793
2020-04-08,64.66146882053994
2020-04-09,71.10272890331399
2020-04-13,72.18967562324767
2020-04-14,70.42886675702859
2020-04-15,69.35368593794115
2020-04-16,66.59929009020975
2020-04-17,75.09622613755228
2020-04-20,68.62852152324248
2020-04-21,61.72899829280417
2020-04-22,73.97924948013907
2020-04-23,71.68643207396362
2020-04-24,76.63927253012538
2020-04-27,70.82969493418231
2020-04-28,65.16674013037095
2020-04-29,67.35077928734452
2020-04-30,67.057273679751
2020-05-01,58.53102151862388
2020-05-04,53.322786576968916
2020-05-05,58.13725010968107
2020-05-06,55.97837813140147
2020-05-07,56.68100749888456
2020-05-08,62.27714618517795
2020-05-11,75.25276767322615
2020-05-12,63.21403332125362
2020-05-13,59.9056573056295
2020-05-14,59.14397784069737
2020-05-15,58.88045239984158
2020-05-18,68.30613683468532
2020-05-19,60.74358498397166
2020-05-20,65.2120961877183
2020-05-21,71.5814802217487
2020-05-22,70.23543358405426
2020-05-26,66.80447344785998
2020-05-27,66.71600808078625
2020-05-28,63.07200345312681
2020-05-29,63.45789045943577
2020-06-01,61.87645366861352
2020-06-02,74.93542191205235
2020-06-03,84.19394844849923
2020-06-04,76.89486666587925
2020-06-05,79.57493050818503
2020-06-08,77.72978525627406
2020-06-09,80.85584347148728
2020-06-10,79.62443770205095
2020-06-11,57.41862310446617
2020-06-12,58.69200871004808
2020-06-15,62.76625154022356
2020-06-16,65.36205480101418
2020-06-17,66.48124866001228
2020-06-18,64.13043263643362
2020-06-19,63.401802369331094
2020-06-22,64.27654063423407
2020-06-23,65.2065074659246
2020-06-24,59.99541041147803
2020-06-25,57.7166542357671
2020-06-26,48.523203176596525
2020-06-29,49.49890279542
2020-06-30,51.44533519822696
2020-07-01,71.42859411739953
2020-07-02,71.30913933478465
2020-07-06,73.60580069075405
2020-07-07,67.51524907798535
2020-07-08,69.53925685461428
2020-07-09,70.61260750906496
2020-07-10,71.83969802683069
2020-07-13,62.26610999075904
2020-07-14,62.053099163271185
2020-07-15,69.88199947549047
2020-07-16,65.33144323227297
2020-07-17,75.82031262825079
2020-07-20,78.55436229102905
2020-07-21,70.53077161118776
2020-07-22,69.00997525570907
2020-07-23,56.736117684790244
2020-07-24,46.41316069182435
2020-07-27,54.15582688727785
2020-07-28,46.228659035336946
2020-07-29,47.19309831531163
2020-07-30,46.65882543860973
2020-07-31,58.68680013573122
2020-08-03,60.358716703623614
2020-08-04,60.78254416406738
2020-08-05,63.92065282727534
2020-08-06,66.49328831316569
2020-08-07,55.589989364317915
2020-08-10,57.82295423348915
2020-08-11,50.29201443346459
2020-08-12,65.64261291567854
2020-08-13,69.93402484405051
2020-08-14,65.75915586236422
2020-08-17,74.32324048943559
2020-08-18,74.11233105786042
2020-08-19,69.56861343394685
2020-08-20,68.89361178098792
2020-08-21,67.45874114419101
2020-08-24,68.1357642671443
2020-08-25,69.44078119817263
2020-08-26,71.33001749122995
2020-08-27,75.53467454679323
2020-08-28,78.73771225541944
2020-08-31,91.36248303634898
2020-09-01,90.95153981755391
2020-09-02,91.50217881053425
2020-09-03,64.8029480768775
2020-09-04,57.914886524138296
2020-09-08,43.65105403050888
2020-09-09,51.28575465754578
2020-09-10,44.649658920031754
2020-09-11,41.94414353593996
2020-09-14,44.26384751376557
2020-09-15,45.49669682584847
2020-09-16,38.253212816803206
2020-09-17,36.579058842868584
2020-09-18,33.800498993343524
