Date,QQQ,BTC,SPY,ETH,TY
2019-12-16,209.2700042724609,,319.5,,128.53125
2019-12-17,209.38999938964844,,319.57000732421875,,128.578125
2019-12-18,209.5500030517578,,319.5899963378906,,128.328125
2019-12-19,210.8600006103516,,320.8999938964844,,128.5625
2019-12-20,211.7100067138672,,320.7300109863281,,128.25
2019-12-23,211.80999755859372,,321.2200012207031,,128.09375
2019-12-24,211.9199981689453,,321.2300109863281,,128.3125
2019-12-26,213.7899932861328,,322.94000244140625,,128.375
2019-12-27,213.6100006103516,,322.8599853515625,,128.65625
2019-12-30,212.2100067138672,,321.0799865722656,,128.53125
2019-12-31,212.6100006103516,,321.8599853515625,,128.421875
2020-01-01,,7193.7546679601,,130.4846850311141,
2020-01-02,216.16000366210935,6963.853353983485,324.8699951171875,127.04525801179804,128.625
2020-01-03,214.17999267578125,7300.34693530511,322.4100036621094,133.70264861844188,129.390625
2020-01-04,,7351.377053166627,,134.1368826978575,
2020-01-05,,7349.972248050628,,135.00571364233377,
2020-01-06,215.55999755859372,7734.675515785289,323.6400146484375,143.80639795566535,129.25
2020-01-07,215.52999877929688,8147.415237636371,322.7300109863281,143.019432264986,129.15625
2020-01-08,217.1499938964844,8045.789124592971,324.45001220703125,140.27393527388705,128.765625
2020-01-09,218.9900054931641,7832.795643840387,326.6499938964844,137.86055928182662,128.890625
2020-01-10,218.42999267578125,8180.513169803805,325.7099914550781,144.6047743464792,129.078125
2020-01-11,,8012.085781814529,,142.18233327497873,
2020-01-12,,8171.401185320944,,145.42287633530452,
2020-01-13,220.9499969482422,8110.647964503772,327.95001220703125,143.58796905036286,128.921875
2020-01-14,220.0800018310547,8801.871213137745,327.45001220703125,165.99143854583525,129.140625
2020-01-15,220.1699981689453,8820.85010599613,328.19000244140625,166.2530969048888,129.34375
2020-01-16,222.27999877929688,8720.91950137424,330.9200134277344,163.80590111423027,129.15625
2020-01-17,223.3800048828125,8902.568995225329,331.95001220703125,171.15621787671842,129.046875
2020-01-18,,8906.902675151074,,174.23837318258896,
2020-01-19,,8690.380569544623,,166.6271059505621,
2020-01-20,,8631.253954333763,,166.93852805776982,
2020-01-21,223.27999877929688,8724.818622931474,331.29998779296875,169.27993585839258,129.578125
2020-01-22,223.8699951171875,8665.436914096897,331.3399963378906,167.8265296405669,129.546875
2020-01-23,224.58999633789065,8415.956027335538,331.7200012207031,162.51937110634034,129.78125
2020-01-24,222.6999969482422,8432.096675789418,328.7699890136719,162.40947975163584,130.28125
2020-01-25,,8348.665665079325,,160.6736108617405,
2020-01-26,,8595.728298493115,,167.6474095857562,
2020-01-27,218.1000061035156,8879.335548714553,323.5,169.7364357354222,130.890625
2020-01-28,221.4499969482422,9320.805853868467,326.8900146484375,175.19000305345378,130.609375
2020-01-29,221.80999755859372,9276.893821086494,326.6199951171875,173.70688823620796,131.015625
2020-01-30,222.6000061035156,9509.80513557522,327.67999267578125,184.72621843141044,131.3125
2020-01-31,219.07000732421875,9308.060285564778,321.7300109863281,179.22910385240368,131.65625
2020-02-01,,9363.22420680057,,183.33693755210257,
2020-02-02,,9338.416631939404,,188.5506417943112,
2020-02-03,222.3800048828125,9308.91270229121,324.1199951171875,189.86176346298168,131.578125
2020-02-04,227.47000122070312,9179.95928107711,329.0599975585937,188.8422073694828,130.890625
