Date,Price
2020-01-01,130.4846850311141
2020-01-02,127.04525801179804
2020-01-03,133.70264861844188
2020-01-04,134.1368826978575
2020-01-05,135.00571364233377
2020-01-06,143.80639795566535
2020-01-07,143.019432264986
2020-01-08,140.27393527388705
2020-01-09,137.86055928182662
2020-01-10,144.6047743464792
2020-01-11,142.18233327497873
2020-01-12,145.42287633530452
2020-01-13,143.58796905036286
2020-01-14,165.99143854583525
2020-01-15,166.2530969048888
2020-01-16,163.80590111423027
2020-01-17,171.15621787671842
2020-01-18,174.23837318258896
2020-01-19,166.6271059505621
2020-01-20,166.93852805776982
2020-01-21,169.27993585839258
2020-01-22,167.8265296405669
2020-01-23,162.51937110634034
2020-01-24,162.40947975163584
2020-01-25,160.6736108617405
2020-01-26,167.6474095857562
2020-01-27,169.7364357354222
2020-01-28,175.19000305345378
2020-01-29,173.70688823620796
2020-01-30,184.72621843141044
2020-01-31,179.22910385240368
2020-02-01,183.33693755210257
2020-02-02,188.55064179431116
2020-02-03,189.86176346298168
2020-02-04,188.8422073694828
2020-02-05,203.8593183747095
2020-02-06,212.73341421352785
2020-02-07,223.27631974792
2020-02-08,223.30077697426225
2020-02-09,228.29226083217347
2020-02-10,224.14699652028605
2020-02-11,236.78534852972567
2020-02-12,264.03276824299627
2020-02-13,267.6704445042514
2020-02-14,284.2318914741183
2020-02-15,263.8999463915962
2020-02-16,262.1562443168135
2020-02-17,267.9356656159883
2020-02-18,281.9457403055278
2020-02-19,259.1838037480287
2020-02-20,257.9883953048601
2020-02-21,265.1644591338591
2020-02-22,260.99654013152536
2020-02-23,274.6312157785517
2020-02-24,265.2421912203732
2020-02-25,248.31738139395105
2020-02-26,224.8105082974468
2020-02-27,225.42971511683757
2020-02-28,227.70528448376496
2020-02-29,218.34835692985288
2020-03-01,218.93979697447656
2020-03-02,231.67944604592213
2020-03-03,223.96011601810255
2020-03-04,224.134877371802
2020-03-05,228.0809351016884
2020-03-06,244.23846951978683
2020-03-07,237.38079020191347
2020-03-08,198.81964228768575
2020-03-09,200.84687148188743
2020-03-10,200.7490385485177
2020-03-11,194.2179412402521
2020-03-12,110.5978978308351
2020-03-13,132.57285770180832
2020-03-14,123.030844108903
2020-03-15,124.60342553062202
2020-03-16,110.9915984533406
2020-03-17,117.21704138518466
2020-03-18,117.7004246469663
2020-03-19,136.81187578973578
2020-03-20,131.96469397290025
2020-03-21,131.94321845316688
2020-03-22,122.5205987665882
2020-03-23,135.58865798037067
2020-03-24,138.77657127268222
2020-03-25,136.23392142176775
2020-03-26,138.76693759902926
2020-03-27,130.2865618875773
2020-03-28,131.42405214081143
2020-03-29,125.31887451568916
2020-03-30,132.36373895414985
2020-03-31,133.2364468438201
2020-04-01,136.21638557312852
2020-04-02,141.4537053523866
2020-04-03,141.26154326644877
2020-04-04,144.200802681986
2020-04-05,142.8508834648482
2020-04-06,169.85504979336824
2020-04-07,164.5160197107307
2020-04-08,172.8035682674752
2020-04-09,170.09510352387568
2020-04-10,157.74015800780134
2020-04-11,158.32787794181905
2020-04-12,158.8638257195104
2020-04-13,156.70135879140688
2020-04-14,158.26715118298955
2020-04-15,153.2228636800284
2020-04-16,171.7759907508837
2020-04-17,170.445890477055
2020-04-18,187.14354411560592
2020-04-19,180.05859654051866
2020-04-20,170.70405868653958
2020-04-21,170.45154288047368
2020-04-22,182.2767576620704
2020-04-23,184.5937024802184
2020-04-24,187.3433686141964
2020-04-25,194.11423682570447
2020-04-26,197.22990444623989
2020-04-27,196.46262535084685
2020-04-28,197.15473156634303
2020-04-29,215.54817266567383
2020-04-30,205.55600541063677
2020-05-01,211.96829534904973
2020-05-02,213.94301121407548
2020-05-03,210.02470947464772
2020-05-04,206.8325342346069
2020-05-05,205.22517973985205
2020-05-06,200.2547945000944
2020-05-07,212.29247620086525
2020-05-08,211.68904835113835
2020-05-09,210.4318181376063
2020-05-10,188.13722615896583
2020-05-11,185.67471809740292
2020-05-12,189.30578181851277
2020-05-13,199.36937254304945
2020-05-14,203.21124699378416
2020-05-15,194.27309778153105
2020-05-16,200.58339090310048
2020-05-17,206.76889403683904
2020-05-18,214.35764164526785
2020-05-19,213.68672021176667
2020-05-20,209.9207882888633
2020-05-21,198.9175157507187
2020-05-22,206.22772963994552
2020-05-23,206.4112069583191
2020-05-24,200.69072858230615
2020-05-25,203.81011834234977
2020-05-26,200.96361540675863
2020-05-27,207.84589389085411
2020-05-28,219.59156405880168
2020-05-29,220.49116734603788
2020-05-30,242.7097702678268
2020-05-31,232.3310030389668
2020-06-01,248.04456658448652
2020-06-02,237.2653201286792
2020-06-03,244.1253366100756
2020-06-04,243.70782131595865
2020-06-05,240.24696898765103
2020-06-06,242.02164036721496
2020-06-07,244.22674439497985
2020-06-08,246.21278326044265
2020-06-09,243.8495266518988
2020-06-10,247.5419715295243
2020-06-11,232.00078536182025
2020-06-12,237.5934108774424
2020-06-13,238.29362910089247
2020-06-14,232.11252047744932
2020-06-15,231.0170115525279
2020-06-16,235.28847948297147
2020-06-17,233.8636184621818
2020-06-18,231.68485732135008
2020-06-19,228.9592128032193
2020-06-20,228.8691487972198
2020-06-21,227.79190590968685
2020-06-22,243.36470999245495
2020-06-23,243.07948223903705
2020-06-24,234.5649846444734
2020-06-25,232.64870349961572
2020-06-26,229.6365260272679
2020-06-27,221.0260852973422
2020-06-28,225.12294616525017
2020-06-29,228.20576377381224
2020-06-30,225.59281496891896
2020-07-01,230.66194359094905
2020-07-02,226.57442434030435
2020-07-03,225.1764054804081
2020-07-04,229.0947164621886
2020-07-05,227.8993750381917
2020-07-06,241.52685187431663
2020-07-07,238.96448054067795
2020-07-08,246.85900786802029
2020-07-09,241.97512857897888
2020-07-10,240.95495378293265
2020-07-11,239.1020255467136
2020-07-12,241.7715226007061
2020-07-13,239.63878681174097
2020-07-14,240.25147066847245
2020-07-15,238.66359720631723
2020-07-16,233.837074562722
2020-07-17,232.7814774382605
2020-07-18,235.6811447764246
2020-07-19,238.89523167867927
2020-07-20,236.06009844538684
2020-07-21,245.2337350263425
2020-07-22,263.7624639660021
2020-07-23,274.7236202591814
2020-07-24,279.42705624758224
2020-07-25,305.0381394111965
2020-07-26,310.51799095173624
2020-07-27,320.47619130968184
2020-07-28,316.4067660520556
2020-07-29,317.5390729161191
2020-07-30,334.7419220365616
2020-07-31,346.00350607288686
2020-08-01,387.9424211712469
2020-08-02,370.7323024312388
2020-08-03,386.2474477178088
2020-08-04,389.3830083498991
2020-08-05,400.18436250318
2020-08-06,394.5417454611831
2020-08-07,379.1351558498163
2020-08-08,391.47843864211467
2020-08-09,389.6229311129114
2020-08-10,395.2099136571893
2020-08-11,379.1747639527544
2020-08-12,387.50053082397886
2020-08-13,427.49026536796873
2020-08-14,438.7625874702974
2020-08-15,432.6546652389318
2020-08-16,433.4318609321125
2020-08-17,430.0325050897228
2020-08-18,422.1066528659943
2020-08-19,406.5744691821068
2020-08-20,416.46977582279794
2020-08-21,386.8238914189483
2020-08-22,395.88501828908585
2020-08-23,390.7891350477376
2020-08-24,408.2691456317229
2020-08-25,383.6621431182992
2020-08-26,385.7524998749212
2020-08-27,381.8376513210842
2020-08-28,395.1382132386204
2020-08-29,399.374543834064
2020-08-30,428.2956791635218
2020-08-31,435.6930232991007
2020-09-01,475.6846642626859
2020-09-02,439.3537602153149
2020-09-03,383.6915311779978
2020-09-04,387.9040290939166
2020-09-05,334.4685930135432
