Date,Volume
2020-01-02,19216450055.17578
2020-01-03,25054384661.58142
2020-01-06,18011829011.242676
2020-01-07,13069403616.906738
2020-01-08,22158638033.691406
2020-01-09,15833803149.142456
2020-01-10,17272172849.868774
2020-01-13,15442116634.79004
2020-01-14,20574601127.001957
2020-01-15,23648255729.919437
2020-01-16,17886326001.77307
2020-01-17,31816080869.99512
2020-01-21,25756056170.996094
2020-01-22,16207462786.868286
2020-01-23,17237166423.431396
2020-01-24,28793149605.83496
2020-01-27,27194218750.0
2020-01-28,20866697195.06836
2020-01-29,17601192254.870605
2020-01-30,24737152471.081543
2020-01-31,36627546138.74512
2020-02-03,22391181622.680664
2020-02-04,20590337039.233395
2020-02-05,21952482179.919437
2020-02-06,16819133159.268188
2020-02-07,21307109462.95166
2020-02-10,14079987291.870115
2020-02-11,18393872805.786133
2020-02-12,14844017424.72229
2020-02-13,18370410280.93872
2020-02-14,21802951114.178467
2020-02-18,19269778954.70581
2020-02-19,16515965419.23523
2020-02-20,24989358535.31494
2020-02-21,37946090186.1145
2020-02-24,51938124091.052246
2020-02-25,68443210643.85986
2020-02-26,60672038700.0
2020-02-27,84598012561.88965
2020-02-28,114052934267.5293
2020-03-02,73780894849.84131
2020-03-03,90113760452.9541
2020-03-04,55255265736.88965
2020-03-05,56368500735.510254
2020-03-06,68019343358.05664
2020-03-09,84851509578.35999
2020-03-10,79732011034.01794
2020-03-11,70048576328.01514
2020-03-12,97313878116.39252
2020-03-13,88758744465.81421
2020-03-16,71293015814.20897
2020-03-17,66251423199.775696
2020-03-18,78623304000.0
2020-03-19,69584832630.7068
2020-03-20,79429934499.44458
2020-03-23,72687317345.05005
2020-03-24,57260486237.65565
2020-03-25,73896401726.66473
2020-03-26,67293690504.93164
2020-03-27,56852546493.218994
2020-03-30,44838828629.04358
2020-03-31,50230603525.0
2020-04-01,46658863633.05055
2020-04-02,44740218857.30591
2020-04-03,33644934558.95996
2020-04-06,49809886677.19727
2020-04-07,53404394519.53125
2020-04-08,42138826047.28699
2020-04-09,52857779759.32617
2020-04-13,31656546726.553345
2020-04-14,38068556632.24487
2020-04-15,33824225189.208984
2020-04-16,36784906334.43298
2020-04-17,42045733220.703125
2020-04-20,28189777420.388798
2020-04-21,34508352607.95593
2020-04-22,25942792127.331543
2020-04-23,29222381669.98596
2020-04-24,24070333807.836918
2020-04-27,22360218079.11377
2020-04-28,30078798256.53076
2020-04-29,34817396361.328125
2020-04-30,35700487166.2384
2020-05-01,35399653269.65332
2020-05-04,22933213916.333008
2020-05-05,22772109875.26245
2020-05-06,20930066550.0
2020-05-07,21648034520.84961
2020-05-08,22357740042.651367
2020-05-11,23257903500.0
2020-05-12,27483283523.32764
2020-05-13,40753462643.307495
2020-05-14,34760042311.8988
2020-05-15,31818962628.323364
2020-05-18,35312621000.0
2020-05-19,27792420037.19788
2020-05-20,25494913952.130127
2020-05-21,23087305614.294437
2020-05-22,18895810764.14795
2020-05-26,26603583517.58423
2020-05-27,31815225294.049072
2020-05-28,27390063554.35791
2020-05-29,36241713128.24707
2020-06-01,17036947884.35669
2020-06-02,22880237978.75977
2020-06-03,28897752690.01465
2020-06-04,23599343273.73047
2020-06-05,48068557146.762085
2020-06-08,23800836738.94043
2020-06-09,24854553230.05371
2020-06-10,30305255200.0
2020-06-11,62900715530.9082
2020-06-12,59223266505.48401
2020-06-15,41692076377.49634
2020-06-16,43071901223.983765
2020-06-17,25992101479.415894
2020-06-18,25200771987.332157
2020-06-19,41836030529.58984
2020-06-22,23187596263.500977
2020-06-23,21366437124.16992
2020-06-24,40387256728.62244
2020-06-25,27497990346.069336
2020-06-26,38394696487.97608
2020-06-29,24287778236.343384
2020-06-30,34966418866.94336
2020-07-01,22480560384.628296
2020-07-02,21651340327.83813
2020-07-06,19566359536.657715
2020-07-07,26015499698.791504
2020-07-08,17275632147.81494
2020-07-09,26204893803.00293
2020-07-10,18277431325.24414
2020-07-13,32427732522.81189
2020-07-14,29869091697.60132
2020-07-15,28064194057.2052
2020-07-16,17522352241.744995
2020-07-17,20195940904.62952
2020-07-20,18262070428.41797
2020-07-21,18620538481.49414
2020-07-22,18890186447.42432
2020-07-23,24460343832.824707
2020-07-24,23670226968.18848
2020-07-27,15609263518.951416
2020-07-28,18465669922.027588
2020-07-29,15753429267.407228
2020-07-30,20040715803.396606
2020-07-31,27749889002.30713
2020-08-03,17451483194.54651
2020-08-04,13835421971.661377
2020-08-05,14180332521.54541
2020-08-06,14603333215.48462
2020-08-07,19173638350.738525
2020-08-10,14859744621.331787
2020-08-11,23163245230.3772
2020-08-12,18145633667.28516
2020-08-13,14084916401.504517
2020-08-14,15919192962.927246
2020-08-17,11989384839.935305
2020-08-18,13116848463.391111
2020-08-19,22949918613.66577
2020-08-20,14278054532.476809
2020-08-21,18707589173.41919
2020-08-24,16662037656.436155
2020-08-25,13236025020.19043
2020-08-26,17653150185.998535
2020-08-27,20215017273.73352
2020-08-28,17034295909.561155
2020-08-31,23089111390.625
2020-09-01,19360807955.13611
2020-09-02,24874458848.876957
2020-09-03,51121555997.13135
2020-09-04,47670774710.21118
2020-09-08,38140981634.90296
2020-09-09,31077975698.538208
2020-09-10,30240251681.70166
2020-09-11,28288267405.261227
2020-09-14,22204904661.40442
2020-09-15,18002103263.607788
2020-09-16,27815767321.289062
2020-09-17,30737184736.831665
2020-09-18,35008526988.77258
2020-09-21,32517428197.399902
2020-09-22,21011075853.485107
2020-09-23,30041721571.94824
2020-09-24,24806400550.0
2020-09-25,23362644642.791748
2020-09-28,21583527631.677246
2020-09-29,17051910229.492188
